nombre,zona,tipo_cocina,instagram,web_o_fuente,prioridad,notas
Bambina,Palermo Chico,pizza napoletana y helado,@bambina__pizza,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Garabato Bistró,Núñez,neo-bistró,@garabato_bistro,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Orei Ramen Bar,Belgrano,ramen japonés,@orei.jp,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Somma,Palermo,bar y restaurante,@somma.bar,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Burdo,Colegiales,cocina y vino,@burdo.resto,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Bravado,Vicente López,cocina argentina contemporánea,@bravado.ba,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA (GBA norte)
Mafia,Belgrano,pizza y champagne,@mafia.bsas,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Jotti,Palermo,comida callejera de autor,@jotti.ar,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Pani Pizza Feroz,Palermo,pizza creativa,@paniferoz,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Del grupo Pani (grupo chico local)
Silvino,Chacarita,bistró artesanal,@silvinoquerido,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Cantina Recoleta,Recoleta,cocina a leña,@growlerscc,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,C,Vinculada a Growlers (cadena de cervecerías)
Anasagasti Omakase,Palermo,omakase japonés,@anasagasti_ba,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Del Río Cantina,Saavedra,cantina italiana,@delriocantina,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Eléctrica Pizza (sede Palermo),Palermo,pizzería,@electricapizza,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,B,Grupo chico local con varias sedes
L'harmonie Libertador,Palermo Chico,café y brunch,@lharmonie___,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,B,Grupo chico local (varias sedes)
Kamay Casa Gardel,Abasto,peruana criolla y nikkei,@kamaycasagardel,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Territorio Aura,Palermo,cocina y arte,@territorioaura,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Orno Pizzería Cantina,Palermo,pizza y cantina,@orno.pizzeria.cantina,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Barragán Café,Saavedra,café mexicano,@barragan.cafe,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Sendero,Costanera,cocina festiva,@senderocostanera,https://www.timeout.com/es/buenos-aires/aperturas-nuevos-restaurantes-hierro-bodegon-mambo-burdo,A,Apertura reciente TimeOut BA
Ness,Núñez,cocina contemporánea,@ness.bsas,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Tintorería Yafuso,Villa Crespo,omakase / pesca,,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Omakase chico detrás de una tintorería
Gran Dabbang,Palermo,india de autor,@dabbang_,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Ácido,Chacarita,cocina contemporánea,@acido_ba,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Tony Wu,Villa Crespo,cantina china,@tonywu_cantinachina,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Sudestada,Palermo,sudeste asiático,@sudestadaba,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Evelia,Núñez,cocina contemporánea,@evelia.restaurante,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
El Imperfecto,Palermo,cocina argentina,@elimperfectook,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Chuí,Villa Crespo,vegetariano,@chui.ba,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Una Canción Coreana,Bajo Flores,coreana,,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Clásico coreano de barrio
La Sarita,Florida (Vicente López),cocina argentina,@lasaritaflorida,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,GBA norte; elegido TimeOut BA
Don Carlos,La Boca,cantina italiana,,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Cantina familiar icónica
Casa Cavia,Palermo Chico,cocina contemporánea,@casacavia,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Alta gama; casa editorial + restaurante
Trescha,Villa Crespo,fine dining,@trescharestaurant,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Fine dining chico
Aramburu,Recoleta,fine dining,@arambururesto,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,C,Estrella Michelin; ticket alto poco fit con QR
MN Santa Inés,La Paternal,sudeste asiático,@mnsantaines,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Roux,Recoleta,cocina argentina,@rouxresto,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Crizia,Palermo,pescados y ostras,@criziarestaurant,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Independiente consolidado
Mishiguene,Palermo,cocina judía / Medio Oriente,@mishigueneba,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Grupo chico del chef Tomás Kalika
Nika Club Omakase,Palermo,omakase japonés,@nikaclubomakase,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Tita La Vedette,La Paternal,pastas veganas,@titalavedette,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Julia,Villa Crespo,fine dining chico,@julia.restaurante,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Restaurante chico de autor
Picarón,Chacarita,bistró,@picaron.ba,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Lo de Jesús,Palermo,parrilla y carnes,@lodejesus,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Parrilla histórica independiente
Sarkis,Villa Crespo,armenia,@restaurantesarkis,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Clásico armenio siempre lleno
Cauce,Puerto Madero,parrilla contemporánea,@cauce_ba,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,B,Independiente en zona corporativa
Checkpoint Charlie,Palermo,europea,@checkpointcharlie.rest,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,Elegido TimeOut BA
Mad Pasta,Martínez (San Isidro),pastas,@madpastahouse,https://www.timeout.com/es/buenos-aires/restaurantes/mejores-restaurantes-buenos-aires,A,GBA norte
Hobby Café,Palermo,cafetería de especialidad,@hobbycafe.ba,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,A,Malabia 1343; también Chacarita Guevara 91
La Kitchen,Chacarita,cafetería de especialidad,@lakitchen.ba,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,A,Roseti 1360
Blanca,Colegiales,cafetería de especialidad,@blancastudio___,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,A,Av. Álvarez Thomas 758
Cuervo Café,Belgrano,cafetería de especialidad,@cuervocafe,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,B,Grupo chico local con 4 sedes
Tres Tostador,Colegiales,cafetería de especialidad,@tres.tostador,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,A,Teodoro García 2806
Cuadra,Núñez,cafetería de especialidad,@cuadra.ba,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,B,O'Higgins 3202; sedes San Isidro y Colegiales
Lab Tostadores,Palermo,cafetería de especialidad,@labtostadores,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,A,Humboldt 1542
Malcriada,Palermo,cafetería de especialidad,@malcriada.arg,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,A,Ravignani 1338
Bulevar,San Telmo,cafetería de especialidad,@bulevar__ba,https://www.timeout.com/es/buenos-aires/mejores-cafeterias-de-especialidad,A,Av. Caseros 438; sede Parque Patricios
La Cabrera,Palermo,parrilla,@lacabrera_bsas,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,C,Grupo grande con franquicias internacionales
El Pobre Luis,Belgrano,parrilla,@elpobreluisparrilla,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,A,Arribeños 2393; clásico de Bajo Belgrano
El Desnivel,San Telmo,parrilla de barrio,@parrilladesnivel,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,A,Defensa 855; clásico popular
El Litoral,Balvanera,parrilla,@ellitoralparrilla,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,A,Moreno 2201
Los Talas del Entrerriano,José León Suárez (GBA),parrilla,@eltalaok,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,B,Parrilla gigante de GBA norte
Parri La Esquina,Belgrano,parrilla,@parrilaesquina,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,A,Miñones 1902
Parrilla Peña,San Nicolás,parrilla,@parrillitapena,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,A,Rodríguez Peña 682; clásico del centro
Don Julio,Palermo,parrilla,@donjulioparrilla,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,C,#1 de 50 Best; operación grande con sistema propio
Corte Comedor,Belgrano,parrilla,@cortecomedor,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,B,Grupo chico (Corte Carnicería/Comedor)
El Rebenque de Omar,Balvanera,parrilla de barrio,,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,B,Matheu 24; sin IG mencionado
La Glorieta de Quique,La Boca,parrilla de barrio,@laglorietadequique,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,A,Brandsen 810
El Secretito,Las Cañitas (Palermo),parrilla,@parrisecretito,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,A,Dorrego 2720
Happening,Costanera Norte,parrilla,@happeningba,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,C,Grupo gastronómico grande
Nuestro Secreto,Recoleta,parrilla,@nuestrosecretorestaurante,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,C,Restaurante del Four Seasons (hotel)
La Brigada,San Telmo,parrilla,@parrillalabrigada,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,B,Clásico turístico independiente
El Ferroviario,Liniers,parrilla,@elferroviariook,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,B,Parrilla de gran volumen
Lo de Charly,Villa Ortúzar,parrilla de barrio,@parrillalodecharly,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,A,Av. Álvarez Thomas 2101
Rufino,Recoleta,parrilla argentina,@rufinoarg,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,B,Posadas 1086
Cabaña Las Lilas,Puerto Madero,parrilla,@cabanalaslilasrestaurante,https://www.timeout.com/es/buenos-aires/restaurantes/parrillas-buenos-aires,C,Operación grande y turística
José el Carnicero,Palermo Soho,parrilla,@xjoseelcarnicerox,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Hermano de La Carnicería (grupo chico)
Casa Pasto,Palermo Soho,parrilla / carnes,@casapastobsas,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
La Choza de Gascón,Palermo Viejo,parrilla de barrio,@lachoza_parrilla,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
Lo de Bebe,Palermo Viejo,parrilla de barrio,@parrillalodebebe,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
Tomahawk,Palermo Hollywood,parrilla,@tomahawk.ba,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
Hierro Parrilla,Palermo Hollywood,parrilla,@hierro.palermo,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,B,Mismo grupo chico que Hierro Bodegón
Marucha,Núñez,parrilla,@parrillamarucha,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
República del Fuego,Barrio Norte,parrilla,@republicadelfuego,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
Mecha Fuego Porteño,Villa Devoto,parrilla,@mecharestaurant,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
La Condesa Grill & Pasta,Colegiales,parrilla y pastas,@lacondesa_restaurante,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,B,Hermana en Villa Devoto (grupo chico)
Fervor,Recoleta,brasas y pescados,@fervorbrasas,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,C,Grupo Fervor/Sottovoce (grupo mediano)
Grandes Carnicerías del Plata,San Telmo,parrilla,@grandescarniceriasdelplata,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
Fogón Asado,Palermo,experiencia de asado,@fogonasado,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,B,Formato experiencia con menú fijo
Parrilla Vittorino,Palermo Soho,parrilla,@vittorino.arg,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
Los Amigos de Siempre,Núñez,parrilla de barrio,,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,B,Sin IG mencionado
Franca,Chacarita,parrilla contemporánea,@francarestaurante_,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
La Vaquita de Chaca,Chacarita,parrilla de barrio,,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,B,Sin IG mencionado
Arde Brasas & Co,Villa Urquiza,parrilla,@ardebrasas,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
La Annunziata,Villa Urquiza,bodegón parrilla,@laannunziataresto,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
Goyena Grill,Caballito,parrilla,,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,C,3 sucursales (grupo chico); sin IG mencionado
El Puentecito,Barracas,bodegón parrilla,@puentecito_arg,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Clásico histórico de Barracas
A Raja Cincha,Villa Santa Rita,parrilla de barrio,,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,B,Sin IG mencionado
Gran Parrilla Cramer,Coghlan,parrilla de barrio,@granparrillacramer,https://buenosaires.substack.com/p/40-must-try-parrillas-steakhouses,A,Independiente
Zen Pacha,Caballito,cafetería de especialidad y matcha,,https://www.diarioconvos.com/2024/01/05/las-3-cafeterias-que-tenes-que-conocer-en-caballito-si-o-si-y-probar-el-mejor-cafe/,B,Té frío y pastelería con matcha
Sastre Café,Caballito,cafetería de especialidad,,https://www.diarioconvos.com/2024/01/05/las-3-cafeterias-que-tenes-que-conocer-en-caballito-si-o-si-y-probar-el-mejor-cafe/,B,Ambientado como antigua sastrería
Café Lo-fi,Caballito,cafetería de especialidad,,https://www.diarioconvos.com/2024/01/05/las-3-cafeterias-que-tenes-que-conocer-en-caballito-si-o-si-y-probar-el-mejor-cafe/,B,Concepto musical lo-fi; pastelería y sándwiches
Centro,Caballito,cocina de autor,,https://www.infogastronomica.com.ar/caballito-5-restaurantes-bares-y-cafes-imperdibles-de-un-barrio-cada-vez-mas-gourmet/,B,Chef Fernando Golabek (ex restaurantes Michelin)
Ronconcón,Caballito,latinoamericana,,https://buenosairesconnect.com/restaurantes-donde-comer-foodie-caballito/,B,Patacones y asado negro
Café Cortázar,Caballito,café,,https://www.tripadvisor.com/Restaurants-g312741-c8-zfn15620507-Buenos_Aires_Capital_Federal_District.html,B,Café de barrio bien reseñado
El Coleccionista,Caballito,café restaurante,,https://www.tripadvisor.com/Restaurants-g312741-c8-zfn15620507-Buenos_Aires_Capital_Federal_District.html,B,Clásico frente al Parque Rivadavia
Richard Parker,Caballito,café brunch,,https://www.tripadvisor.com/Restaurants-g312741-c8-zfn15620507-Buenos_Aires_Capital_Federal_District.html,B,Café de barrio bien reseñado
Moebius,Caballito,café,,https://www.tripadvisor.com/Restaurants-g312741-c8-zfn15620507-Buenos_Aires_Capital_Federal_District.html,B,Café de barrio bien reseñado
Zulu,La Lucila (Vicente López),japonesa,,https://malevamag.com/2025/01/27/zona-norte-a-la-altura-siete-propuestas-con-coolness-y-sofisticacion-entre-olivos-y-san-isidro-que-rompen-el-molde-conservador-y-basico/,B,De Maia Mendoza; apertura reciente
Alo's,San Isidro,bistró contemporáneo,@alosbistro.arg,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,B,Chef Alejandro Féraud; producto de estación
Alazán,Ramos Mejía,parrilla,,https://www.tripadvisor.com/Restaurants-g3720777-Ramos_Mejia_Province_of_Buenos_Aires_Central_Argentina.html,B,Rosales 297
Parrilla Pajarota,Ramos Mejía,parrilla,@parrillapajarota,https://www.tiktok.com/@alanbracco_/video/7322612823400385798,A,Av. de Mayo 638; patio y salón
Sin Fin,Ramos Mejía,bodegón,,https://www.tiktok.com/discover/mejores-restaurantes-en-ramos-mejia,B,Espora 251; bodegón familiar
Chicha Bodegón,Ramos Mejía,bodegón,,https://www.tiktok.com/discover/mejores-restaurantes-en-ramos-mejia,B,Buena relación precio-calidad
Fratoj,Ramos Mejía,restaurante,,https://www.tiktok.com/discover/mejores-restaurantes-en-ramos-mejia,B,Av. de Mayo 277
Mamma Mia,Ciudadela (zona oeste),parrilla y pastas libres,,https://www.tiktok.com/@hoteleandola/video/7273991848052444421,B,Amoretti 3707; formato tenedor libre
Ti Amo,Adrogué (GBA sur),pizza napoletana,,https://www.lanacion.com.ar/sociedad/una-pizzeria-argentina-quedo-por-quinto-anos-consecutivo-entre-las-mejores-del-mundo-nid05072026/,B,#21 mundial 50 Top Pizza 2025
Atte. Pizzería Napoletana,Palermo,pizza napoletana,,https://www.infogastronomica.com.ar/donde-comer-la-mejor-pizza-napoletana-de-buenos-aires/,B,Pizza napolitana + vinos argentinos
Cosi Mi Piace,Palermo Soho,pizza a la piedra,,https://www.infogastronomica.com.ar/donde-comer-la-mejor-pizza-napoletana-de-buenos-aires/,B,Horno de leña importado de Italia
FILO Ristorante,Retiro / San Nicolás,pizza napolitana e italiana,,https://filoristorante.com.ar/pizza-napolitana/,B,Clásico del microcentro con web propia
San Paolo,Palermo Hollywood,pizza napoletana,,https://www.infogastronomica.com.ar/donde-comer-la-mejor-pizza-napoletana-de-buenos-aires/,B,Masa de leudado prolongado; horno de leña
Austria,San Isidro,austríaca y europea,@austria_restaurant,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,A,Recomendado TimeOut zona norte
Lardo & Rosemary,La Lucila (Vicente López),platitos y vinos naturales,@lardoyrosemary,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,A,Recomendado TimeOut y Maleva
Dandy,Acassuso (San Isidro),cocina internacional,@dandycocina,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,B,Grupo chico local
Pasaje Victoria,Olivos (Vicente López),tapas mediterráneas,@pasaje.victoria,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,A,Recomendado TimeOut zona norte
Melé Fuegos,Victoria (San Fernando),cocina al fuego,@mele.fuegos,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,A,Recomendado TimeOut zona norte
